City,lat,lon
Marennes,45.6794,-1.1464
Sauternes,44.5986,-0.2514
Valence,44.9333,4.9000
Besse,45.6000,3.4667
Sainte-Geneviève-des-Bois,48.6883,2.3583
Moutiers,45.5583,6.5772
Péronne,49.8972,2.9500
Isola,44.1056,6.7925
Valkenburg,50.8719,5.8519
St Gervais,45.8936,6.7156
St Gaudens,43.1031,0.7225
Lugny,46.3667,4.7167
Saint-Gervais,45.8936,6.7156
Fontaine,45.1903,5.6842
Nancy,48.6921,6.1844
Santenay,46.9517,4.6819
Vitre,48.1072,-1.7347
Morzine Avoriaz,46.1806,6.7044
Montreuil,48.8644,2.4333
Langon,44.5903,-0.2767
Domaine du Rouret,43.5828,6.8133
Saintes,45.7456,-0.6272
Saint-Priest,45.7436,4.9333
Nay,43.2878,-0.3886
Rochefort,45.9369,-0.9667
Beringen,50.9369,4.9333
Spa,50.4094,5.8889
Flers,48.7597,-0.6097
Mazé-Montgeoffroy,47.3986,-0.3031
Rossignol Voiron,45.4183,5.5914
Merlin-Plage,48.6297,-3.1464
Mons,50.4544,3.9566
Chaumont,48.1111,5.1378
Forest,50.7636,4.3217
Ruffec,46.0914,-0.2061
Charleville,49.7697,4.7142
Pont l'Evêque,49.2644,0.2375
Blain,47.4247,-1.9475
Saint-Vincent,45.6422,-1.2167
Circuit de la Prairie Caen,49.1778,-0.3608
Circuit de Rouen-Les-Essarts,49.4625,1.1236
Le Puy,45.0436,3.8806
Trouville,49.3703,0.0625
Saint-Raphaël,43.4075,6.7972
Saint-Quentin,49.8953,3.2875
Evian,46.4000,6.5833
Gex,46.2611,6.0597
Andorra-Arcalis,42.5492,1.5669
La Caverne du Pont-d'Arc,44.3814,4.3819
Finhaut-Émosson,46.0456,7.0156
La Pierre Saint-Martin,43.0708,-0.7911
La Toussuire - Les Sybelles,45.2325,6.4239
Arenberg Porte du Hainaut,50.3686,3.0047
Gérardmer La Mauselaine,48.0800,6.8725
Saint-Lary Pla d’Adet,42.7892,0.2500
Calvi,42.5672,8.7919
La Toussuire-Les Sybelles,45.2325,6.4239
Annonay-Davézieux,45.2539,4.6500
Lavaur,43.6692,1.8419
Col du Galibier-Serre Chevalier,45.0642,6.4050
Super-Besse Sancy,45.5444,2.8336
Gourette–Col d'Aubisque,42.9744,-0.3469
Val d'Aran/Pla-de-Beret,42.6950,0.7697
Saint-Lary-Soulan Pla d'Adet,42.7892,0.2500
Sedan,49.6917,4.9419
Cap Découverte,43.6678,2.1267
Cork,51.8983,-8.4750
Eurotunnel,50.9500,1.8000
Pal,42.7328,1.7119
Ales,44.1383,4.0783
Sceaux,48.7708,2.3208
Seignosse le Penon,43.7425,-1.4536
Pyrénées 2000,42.6136,1.8847
Châtel,46.2572,6.8661
Orange,44.1378,4.8056
Felsberg,49.0925,7.7278
Belfort/Ballon d’Alsace,47.6778,6.8597
Circuit des Essarts,49.0139,0.9681
St. Gaudens,43.1031,0.7225

